time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:28:27 2026,0.01241093001441342,-0.026696932925117278,1.0239447526909469,0.009211693701226844,0.004032726498623781,1.0246207975433812,221.01768029116116,49.259513676676505,2.8127953287707257,1.0245812524921596,0.9632909807888068,1.0046000277599456,34.4121321720809,97366.7067147479,100.04627337167462,639.3444991336833,3712.396629354241
Wed Feb 18 15:28:28 2026,-0.003421254063669734,-0.01799697283947641,0.9708727621145166,-0.00979456130130028,-0.013785482202056219,0.9826074365442281,215.84343287794331,48.37900737433695,3.04621088941937,1.0694156112858553,0.9834706699301413,0.9872742779420338,22.828457529021218,42988.03786500613,35.69067655400294,1002.1115529635825,80.67372040739797
Wed Feb 18 15:28:29 2026,0.016250037512085362,0.02415198753722872,1.0275916499458198,0.0007850722293043103,0.0040246299582926155,0.9742037023302176,214.1374127974433,48.40225978059137,2.858895823047643,1.128047585553357,0.9920931043079563,1.002979707861317,22.95206845952617,60384.0126141103,35.673521647186675,1001.8588565082863,66.78512721004977
Wed Feb 18 15:28:30 2026,0.038154795057510175,0.01978559424480047,1.0430079289088245,0.03204375444043757,0.0176256017567411,1.0000202100710576,218.01555115764853,54.77869242116032,3.930578944812514,1.06531065200589,1.0363991060621949,0.9861172965910883,22.922925374159725,65339.487341840024,35.62241364529352,1003.9479728152679,74.03609198950983
Wed Feb 18 15:28:31 2026,-0.005716865778221981,-0.0005007854147244873,1.0132468689051188,0.004908517600425862,0.0017458173365022184,0.9947860560178814,217.25522188791348,53.18365522085011,4.435448884509412,1.0161833457072142,1.010811863847899,1.0150299255480333,22.983211854297465,75081.83669507471,35.74431164998373,1003.2870371197865,78.7512188993595
Wed Feb 18 15:28:32 2026,-0.005683029394459713,0.00399381907131888,1.0595776160450185,0.0013273972556586363,0.0015226249168349617,0.9858752592195028,217.83675394573424,55.13714437450656,4.349424488844547,1.0668392896455596,0.9744320788038242,1.0145120767319133,22.963808027314386,76985.38962462568,35.52660272801462,1003.9083191970307,64.83238913620191
Wed Feb 18 15:28:33 2026,0.0396588643928049,0.041404379198943964,0.9757777172331716,-0.03377689117277934,-0.022348427911707592,1.0222817404639255,228.72619324143287,58.38460551830882,4.664995910374482,1.0097175525348068,1.0095064985697788,1.0073376029471142,22.990771195833084,83327.64680142076,35.67852520367736,1004.2307742561123,73.85515804687815
Wed Feb 18 15:28:34 2026,0.019409153960460775,-0.018749373350070913,0.9609258097040864,0.018879920131339656,-0.021046467564871614,1.0305140371380124,229.36735775773622,59.44659248114253,5.217645418328612,1.0021141185615345,0.9704077865548973,1.0050412453238844,23.07663669065637,81577.43200686734,34.9642931417985,1003.7872201105789,88.42637255451801
Wed Feb 18 15:28:35 2026,-0.011462906192701997,0.017963367180605608,0.9440747844501822,0.016395516324681603,-0.04482480435779835,1.0031349823339408,223.85511934441246,58.7808143013189,5.213236449679664,0.978348136972921,1.0210384946729067,1.0240752505801198,23.018909804558433,87210.61579688739,35.28812790599701,1004.194028669843,96.59746335239613
Wed Feb 18 15:28:36 2026,0.01385727373688398,-0.006123666571187566,1.0477031071339538,0.054352049500352044,0.056731062291691205,1.0471174726088692,236.39398903247746,59.42416558636352,4.705285832521337,1.100118322167601,0.9911665396634707,1.000159331232061,23.069104509237768,87015.329371195,35.19870080328896,1003.4363247553634,77.25887133960119
Wed Feb 18 15:28:37 2026,-0.011244720953735483,-0.006579377204212444,1.02112179047207,-0.007355904000836335,-0.0396265156317076,0.9643097244078478,232.76039800826982,58.63408665084578,5.215844955283437,0.9488399183609093,0.9984557131660817,0.9841232630726529,23.102236835960177,87872.70902684398,35.308107638716976,1002.26915616219,89.55595911390427
Wed Feb 18 15:28:38 2026,-0.011269064076083326,0.03585888466191537,0.9987072501181733,0.005843391256493364,-0.02184039564255001,0.9943397251809974,234.42625875600402,58.89790891949265,5.402726571680553,1.0983154370262944,1.0257934266039501,1.0063070951162045,23.119626226607743,91934.27834032025,35.22739358070106,1004.6183054410386,61.666598480814976
Wed Feb 18 15:28:39 2026,0.006446798041462208,0.02709867264998491,1.0093636505625114,0.0066322298963386464,-0.022618581305745785,0.9778335691533494,244.29739064151488,59.03927953591694,5.712997698326244,1.0327859935439405,0.9755419757591217,1.0285619222674924,23.123553278316233,94676.25293263634,35.4479584666169,1002.8944554521227,88.60352797251791
Wed Feb 18 15:28:40 2026,-0.047370796283220426,0.026758311424850113,0.9649491077819232,0.03984888370358961,0.02938018954167369,0.9415085957315351,242.41286526333036,58.321037188710235,5.7665285950993255,0.9121808426226564,0.9734520285533627,0.9864484348623077,23.154306171211275,95717.59876987667,34.915861353657924,1002.5352178342297,73.28221560136186
Wed Feb 18 15:28:41 2026,-0.04263093543758646,0.04264475555350912,1.0779554521604053,-0.0019130936080728198,-0.008895400134381786,0.997977109634676,239.3407161479778,59.523670345210846,6.268819536783763,1.0245539181627228,0.9891310672213017,0.9953431664435926,23.174701683451286,95640.96861262311,35.26156609756348,1003.3240969453489,84.98171556552353
Wed Feb 18 15:28:42 2026,0.9864520421458497,1.0013226407195672,2.0047222189022964,1.007473041324026,1.0408284855549308,1.9967836804729655,318.70089951458016,80.66000247503231,9.075625558940636,0.8678208730952068,1.020366050478806,1.0059310427581591,23.186643611823822,98981.28576901242,35.33712525699421,1002.5621370663276,79.12871247710474
