time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:54:07 2026,1,1,1,1,1,1,384,81,7,1,0,0,14.6880078125,216569,48.48769969158221,1002.7460214587653,87.82214789659875
Wed Feb 18 15:54:08 2026,1,1,1,1,1,1,384,81,7,1,0,0,14.657734375,216031,48.4780619130756,1002.7421309533408,87.85481352711349
Wed Feb 18 15:54:09 2026,1,1,1,1,1,1,384,81,7,1,0,0,14.631171875,215096,48.462652065736364,1002.7358106951199,87.9078801722903
Wed Feb 18 15:54:10 2026,1,1,1,1,1,1,378,79,7,1,0,0,14.6098828125,214963,48.45403906698237,1002.7365281143287,87.90185650753101
Wed Feb 18 15:54:11 2026,1,1,1,1,1,1,378,79,7,1,0,0,14.5973828125,216031,48.49599099407242,1002.7277925028064,87.97520353390446
Wed Feb 18 15:54:12 2026,1,1,1,1,1,1,378,79,7,1,0,0,14.586640625,214433,48.51336135699523,1002.7271289726955,87.98077476897033
Wed Feb 18 15:54:13 2026,1,1,1,1,1,1,402,85,8,1,0,0,14.5755078125,215630,48.57407837384891,1002.7275338590921,87.97737519826975
Wed Feb 18 15:54:14 2026,1,1,1,1,1,1,402,85,8,1,0,0,14.569453125,214565,48.66020088881061,1002.7329368863528,87.93200955924335
Wed Feb 18 15:54:15 2026,1,1,1,1,1,1,402,85,8,1,0,0,14.5626171875,214169,48.783512465182035,1002.7301716089354,87.95522773628745
Wed Feb 18 15:54:16 2026,1,1,1,1,1,1,405,86,6,1,0,0,14.5555859375,214963,48.91931046086849,1002.7270817993542,87.98117085325653
Wed Feb 18 15:54:17 2026,1,1,1,1,1,1,405,86,6,1,0,0,14.55109375,214565,49.07415387823015,1002.728208885549,87.97170743766739
Wed Feb 18 15:54:18 2026,1,1,1,1,1,1,405,86,6,1,0,0,14.5485546875,212728,49.21069153898591,1002.7308621850467,87.94942942768283
Wed Feb 18 15:54:19 2026,1,1,1,1,1,1,408,94,8,1,0,0,14.5446484375,213511,49.35963246630401,1002.72952711862,87.96063909601601
Wed Feb 18 15:54:20 2026,1,1,1,1,1,1,408,94,8,1,0,0,14.5430859375,213119,49.52143550710014,1002.7269319920848,87.98242868889005
Wed Feb 18 15:54:21 2026,1,1,1,1,1,1,408,94,8,1,0,0,14.540546875,212468,49.68327525451006,1002.7244324804424,88.00341550874728
Wed Feb 18 15:54:22 2026,1,2,2,1,2,2,417,98,9,1,0,0,14.541328125,212598,49.87687465927947,1002.7308827443854,87.9492568046297
Wed Feb 18 15:54:23 2026,1,2,2,1,2,2,417,98,9,1,0,0,14.5434765625,212209,50.07710040124923,1002.7292983460849,87.96255994865022
Wed Feb 18 15:54:24 2026,1,2,2,1,2,2,417,98,9,1,0,0,14.547578125,212338,50.29656468783258,1002.7326754027745,87.93420505899309
Wed Feb 18 15:54:25 2026,1,2,2,1,2,2,405,95,10,1,0,0,14.5505078125,212209,50.497363227835656,1002.7306709035578,87.95103549088506
Wed Feb 18 15:54:26 2026,1,2,2,1,2,2,405,95,10,1,0,0,14.5551953125,210539,50.704873509770486,1002.731585838218,87.94335339645794
Wed Feb 18 15:54:27 2026,1,2,2,1,2,2,405,95,10,1,0,0,14.557734375,211178,50.893529756533965,1002.7340852724852,87.92236734749353
Wed Feb 18 15:54:28 2026,1,1,1,1,1,1,408,90,9,1,0,0,14.5583203125,211563,51.0444296164805,1002.729905598909,87.95746124653483
Wed Feb 18 15:54:29 2026,1,1,1,1,1,1,408,90,9,1,0,0,14.561640625,212728,51.158029658580475,1002.7302673062707,87.95442422917677
Wed Feb 18 15:54:30 2026,1,1,1,1,1,1,408,90,9,1,0,0,14.5676953125,211950,51.26573189874411,1002.7317350754332,87.94210035191192
Wed Feb 18 15:54:31 2026,1,1,1,1,1,1,372,82,9,1,0,0,14.5719921875,212858,51.3669933029607,1002.7302832763698,87.9542901388444
